licensecat,Description
FS,Eating & Drinking
FT,Eating & Drinking w/ Take Out
RF,Retail Food
MFW,Mobile Food Walk On
Inactive,FS
CV7AL,CV7 All Alc.
CV7MWL,CV7 Malt Wine Liq.
CV7MW,CV7 Malt Wine
INNAL,Inn. All Alc.
CV7ALN,CV7ALN - Neighborhood Restricted
CV7MWR,CV7 Malt Wine Restrict.
CV7ALR,CV7 All Alc. Restrict.
CV7ALA,CV7 All Alc. Airp.
CV7MWLR,CV7 Malt Wine Liq. Restrict.
CLBAL,Clb. All Alc.
CLBALA,Clb. All Alc. Airport
GOPAL,GOP All Alc.
GOPMW,GOP Malt Wine
FDPL,Farmer Distillery Pouring License
CLBALV,Clb. All Alc. Vet.
CV7MWN,CV7MWN - Neighborhood Restricted
INNALR,Inn. All Alc. Restrict.
GOPALA,GOP All Alcohol Airport
GOPMWL,GOP Malt Wine Liq.
CV7MWLN,CV7MWLN - Neighborhood Restricted
CV7MWA,CV7 Malt Wine Airp.
INNMW,Innholder Malt & Wine
GOPALR,Gen Prem All Alcohol Rest
TAVAL,Tavern Licenses
CLBMW,Club Malt & Wine
CLBMWR,Clb. Malt Wine Restrict.
